YEAR,AGE_GROUP,NB_INSCRIPTIONS,POPULATION_NATIONALE,PART_ETUDIANTS_PCT,PART_POPULATION_PCT,ECART_PCT
2022,20-24 ans,21,3783207,1.2,7.5,-6.3
2022,25-29 ans,250,3650020,14.7,7.3,7.5
2022,30-34 ans,460,3972524,27.1,7.9,19.2
2022,35-39 ans,336,4091969,19.8,8.1,11.7
2022,40-44 ans,268,4121087,15.8,8.2,7.6
2022,45-49 ans,149,4185194,8.8,8.3,0.5
2022,50-54 ans,106,4305160,6.3,8.6,-2.3
2022,55-59 ans,65,4277104,3.8,8.5,-4.7
2022,60 ans ou plus,41,17831937,2.4,35.5,-33.1
2023,20-24 ans,28,3813427,2.4,7.6,-5.1
2023,25-29 ans,247,3661207,21.5,7.3,14.2
2023,30-34 ans,317,3968411,27.6,7.9,19.7
2023,35-39 ans,193,4085874,16.8,8.1,8.7
2023,40-44 ans,149,4181124,13,8.3,4.7
2023,45-49 ans,95,4084062,8.3,8.1,0.2
2023,50-54 ans,66,4351840,5.7,8.6,-2.9
2023,55-59 ans,37,4280466,3.2,8.5,-5.3
2023,60 ans ou plus,18,18050120,1.6,35.8,-34.2
2024,20-24 ans,60,3814112,7.1,7.5,-0.5
2024,25-29 ans,213,3708795,25.1,7.3,17.8
2024,30-34 ans,187,3932545,22,7.7,14.3
2024,35-39 ans,157,4127892,18.5,8.1,10.3
2024,40-44 ans,95,4199215,11.2,8.3,2.9
2024,45-49 ans,70,4006141,8.2,7.9,0.3
2024,50-54 ans,43,4376477,5.1,8.6,-3.6
2024,55-59 ans,22,4258573,2.6,8.4,-5.8
2024,60 ans ou plus,3,18326616,0.4,36.1,-35.8
2025,20-24 ans,81,3821865,8.5,7.5,1
2025,25-29 ans,202,3754647,21.2,7.4,13.9
2025,30-34 ans,222,3907963,23.3,7.7,15.7
2025,35-39 ans,177,4150632,18.6,8.1,10.5
2025,40-44 ans,97,4212798,10.2,8.3,1.9
2025,45-49 ans,81,3986393,8.5,7.8,0.7
2025,50-54 ans,51,4350649,5.4,8.5,-3.2
2025,55-59 ans,29,4236061,3,8.3,-5.3
2025,60 ans ou plus,11,18607630,1.2,36.5,-35.3
