REGION,YEAR,NB_INSCRIPTIONS,POPULATION_REGIONALE,PART_ETUDIANTS_PCT,PART_POPULATION_PCT,ECART_PCT,TAUX_INSCRIPTIONS_100K,TAUX_CHOMAGE_PCT
Auvergne-Rhône-Alpes,2022,171,6219184,10.2,12.4,-2.2,2.7,6.25
Bourgogne-Franche-Comté,2022,27,2178448,1.6,4.3,-2.7,1.2,6.25
Bretagne,2022,46,2647458,2.7,5.3,-2.5,1.7,5.82
Centre-Val de Loire,2022,36,1984587,2.1,4,-1.8,1.8,6.78
DROM,2022,14,,0.8,,,,
Grand Est,2022,95,4303934,5.6,8.6,-2.9,2.2,7.05
Hauts-de-France,2022,113,4488700,6.7,8.9,-2.2,2.5,8.78
Normandie,2022,35,2560911,2.1,5.1,-3,1.4,6.85
Nouvelle-Aquitaine,2022,117,4822779,7,9.6,-2.6,2.4,6.5
Occitanie,2022,115,4741286,6.8,9.4,-2.6,2.4,8.7
Pays de la Loire,2022,65,2944019,3.9,5.9,-2,2.2,5.9
Provence-Alpes-Côte d'Azur,2022,100,4045569,5.9,8.1,-2.1,2.5,8.15
Île-de-France,2022,762,9281327,45.3,18.5,26.8,8.2,6.9
Auvergne-Rhône-Alpes,2023,84,6258060,7.3,12.4,-5,1.3,6.28
Bourgogne-Franche-Comté,2023,17,2180185,1.5,4.3,-2.8,0.8,6.4
Bretagne,2023,33,2668257,2.9,5.3,-2.4,1.2,5.92
Centre-Val de Loire,2023,25,1988431,2.2,3.9,-1.8,1.3,6.82
DROM,2023,7,,0.6,,,,
Grand Est,2023,49,4309903,4.3,8.5,-4.3,1.1,7.15
Hauts-de-France,2023,69,4496826,6,8.9,-2.9,1.5,9
Normandie,2023,33,2566989,2.9,5.1,-2.2,1.3,6.85
Nouvelle-Aquitaine,2023,63,4852291,5.5,9.6,-4.1,1.3,6.4
Occitanie,2023,47,4782656,4.1,9.5,-5.4,1,8.7
Pays de la Loire,2023,39,2968289,3.4,5.9,-2.5,1.3,5.75
Provence-Alpes-Côte d'Azur,2023,62,4073188,5.4,8.1,-2.6,1.5,8
Île-de-France,2023,622,9331456,54.4,18.5,35.9,6.7,6.92
Auvergne-Rhône-Alpes,2024,87,6300278,10.3,12.4,-2.1,1.4,6.35
Bourgogne-Franche-Comté,2024,15,2182323,1.8,4.3,-2.5,0.7,6.55
Bretagne,2024,30,2691007,3.6,5.3,-1.7,1.1,5.95
Centre-Val de Loire,2024,26,1992632,3.1,3.9,-0.8,1.3,6.88
DROM,2024,9,,1.1,,,,
Grand Est,2024,58,4317361,6.9,8.5,-1.6,1.3,7.2
Hauts-de-France,2024,58,4505968,6.9,8.9,-2,1.3,8.98
Normandie,2024,24,2574804,2.9,5.1,-2.2,0.9,7.05
Nouvelle-Aquitaine,2024,65,4885160,7.7,9.6,-1.9,1.3,6.6
Occitanie,2024,56,4826120,6.7,9.5,-2.9,1.2,8.78
Pays de la Loire,2024,27,2994333,3.2,5.9,-2.7,0.9,5.88
Provence-Alpes-Côte d'Azur,2024,50,4101946,5.9,8.1,-2.1,1.2,7.85
Île-de-France,2024,345,9378434,41,18.5,22.5,3.7,7
Auvergne-Rhône-Alpes,2025,93,6342558,9.9,12.4,-2.5,1.5,6.62
Bourgogne-Franche-Comté,2025,19,2185622,2,4.3,-2.3,0.9,6.9
Bretagne,2025,30,2713185,3.2,5.3,-2.1,1.1,6.25
Centre-Val de Loire,2025,35,1997412,3.7,3.9,-0.2,1.8,7.1
DROM,2025,16,,1.7,,,,
Grand Est,2025,54,4325870,5.8,8.5,-2.7,1.2,7.3
Hauts-de-France,2025,60,4515214,6.4,8.8,-2.4,1.3,9.22
Normandie,2025,22,2582397,2.4,5.1,-2.7,0.9,7.3
Nouvelle-Aquitaine,2025,51,4917860,5.5,9.6,-4.2,1,6.92
Occitanie,2025,69,4870754,7.4,9.5,-2.2,1.4,9.12
Pays de la Loire,2025,28,3019561,3,5.9,-2.9,0.9,6.28
Provence-Alpes-Côte d'Azur,2025,83,4131870,8.9,8.1,0.8,2,8.12
Île-de-France,2025,391,9426335,41.8,18.5,23.3,4.1,7.42
